Steps	cost_limit	update/episode	update/cum_cost	train/reward	train/cost	train/length	train/success	train/complete	loss/rescaling	loss/lagrangian	loss/actor_safety	loss/actor_rew	loss/actor_total	loss/kl	loss/vf0	loss/vf1	loss/vf_total	loss/total	loss/entropy	update/gradient_steps	test/reward	test/cost	test/length	test/success	test/complete	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
1914074	10.0	5390.0	19661.5	274.63865373488625	4.325	334.0	0.42500000000000004	0.7542722618585574	0.9655377302436128	0.03696078431372549	-0.00011787996599570545	0.0003542230457670112	0.0002389675420559419	0.005614368554733137	92.3135059768079	0.4996282015653217	92.81313432431688	23.20352253726884	1.421777763203079	28380.0	150.4578108555479	2.7	120.0	0.0	0.4323618656705075	3986.1649355888367	612.6179184913635	483.2261529813111	2884.778212070465	488.76880502700806	567.3773005976445	62.0	1914074.0
1928354	10.0	5430.0	19927.5	298.1022298216899	6.275	356.5	0.47500000000000003	0.8288082452214243	0.9233877233877231	0.08963636363636367	-9.015960597687144e-05	0.007391854215794328	0.006575923585069241	0.015327763512984587	87.02093767686326	1.067313502187079	88.08825113123117	22.028638653321696	1.417150393941187	28600.0	85.64765189300059	1.0	82.0	0.0	0.2597463233503942	4015.244827270508	614.8402464389801	482.81647422939386	2908.274214744568	492.13036608695984	567.0954600138917	61.0	1928354.0
1940747	10.0	5470.0	20058.0	254.63242856694262	3.15	309.0	0.275	0.7238171494418282	1.0	0.0	0.0	0.0032778253017054144	0.0032778253017054144	0.014203348406373606	105.1473856386931	0.3629741677031013	105.5103599121852	26.380867815906214	1.412775810460867	28772.5	101.3141484017224	1.3	89.0	0.0	0.34494995652102506	4038.299376964569	617.4522259235382	482.23002120470477	2926.083492040634	494.76365900039673	567.329352733399	60.0	1940747.0
1953002	10.0	5510.0	20179.0	256.9439720843016	3.15	305.5	0.22499999999999998	0.7080485179386086	1.0	0.0	0.0	0.011240204363341695	0.011240204363341695	0.03431792027020657	93.2120978615501	0.5790270955725151	93.79112486405802	23.459021403572773	1.4102953910827636	28881.0	80.24848422100763	1.0	78.0	0.0	0.22744141599303141	4061.0696020126343	619.7410063743591	481.7221983527469	2944.5524282455444	496.7761673927307	567.5139544870373	59.0	1953002.0
1965705	10.0	5550.0	20376.5	249.23356361520825	5.425	317.0	0.2	0.7002895970062049	1.0	0.0	0.0	0.0018506433156820392	0.0018506433156820392	0.008461423118243752	111.3589990139008	0.7842505413573232	112.14324988921483	28.03766306241354	1.4079018216580153	29067.0	110.27855367901248	2.2	94.0	0.0	0.33508993629922335	4086.77757024765	622.4276123046875	481.1627795416565	2964.6087152957916	499.741242647171	567.4094776404121	58.0	1965705.0
1977265	10.0	5590.0	20482.5	243.66231055274133	1.625	288.5	0.3	0.693446646615957	1.0	0.0	0.0	-0.0007768425609604246	-0.0007768425609604246	0.0066789457705453935	108.03583077950908	0.21532805420627657	108.25115893103859	27.062012829563823	1.4044762267307798	29245.0	134.165138044279	2.0	105.0	0.1	0.41864130616214784	4110.394435405731	625.9089167118073	480.1768947132343	2981.8673651218414	502.6181535720825	567.4481898094185	57.0	1977265.0
1989903	10.0	5630.0	20586.5	273.102019997896	2.8499999999999996	315.5	0.35	0.7485808701014964	1.0	0.0	0.0	0.003138372837687104	0.003138372837687104	0.014540149683549925	93.42727724711101	0.39693116326816374	93.82420825958246	23.45919046302635	1.4006116191546119	29433.0	109.42382707912893	1.6	94.0	0.0	0.340556825495275	4135.201007843018	628.4547913074493	479.73379178599686	3000.999971628189	505.74624490737915	567.4499599135211	56.0	1989903.0
2002715	10.0	5670.0	20737.0	267.4107718392048	4.05	319.5	0.4	0.7530597466059981	1.0	0.0	0.0	0.004697982485522513	0.004697982485522513	0.014867293338174924	84.83479785919191	0.6076513332873588	85.44244895935059	21.36531026840209	1.397573115229606	29629.0	118.87804645430965	3.4	104.0	0.1	0.3692477197920869	4162.843672990799	631.9987099170685	478.70350880890186	3021.876027584076	508.96893548965454	567.2055898644054	55.0	2002715.0
2016133	10.0	5710.0	20905.0	278.7267783498931	4.675	335.0	0.4	0.7640777603224882	0.9474193264749846	0.058627450980392154	-6.056915349201481e-05	0.0025036510590272136	0.0024576553175083646	0.011180926253491279	87.2157497406006	0.47696235688293687	87.69271207323261	21.925635725844142	1.3921888178470088	29835.0	121.18235704476345	3.6	106.0	0.0	0.37418917881442015	4189.261253595352	635.4294624328613	477.79024730392985	3041.678328514099	512.1534626483917	567.3124442787722	54.0	2016133.0
2028680	10.0	5750.0	21059.5	261.23558742345995	3.0	313.5	0.225	0.7227709834355157	1.0	0.0	0.0	0.0037734232920835597	0.0037734232920835597	0.015876542539748094	106.7000872294108	0.4523907973586271	107.15247807900107	26.791892910997063	1.3891102441896988	30031.0	66.9915018596683	1.8	72.0	0.0	0.2539889259290583	4213.614884376526	637.4435231685638	477.4132749632243	3060.7616889476776	515.4096722602844	567.277066755199	53.0	2028680.0
2040024	10.0	5790.0	21200.5	204.974985828727	3.45	283.5	0.1	0.587923433123959	1.0	0.0	0.0	0.000678395244481075	0.000678395244481075	0.006791681113480629	107.1309373766877	0.4847188470668572	107.61565634261726	26.904592419779558	1.3857794882253154	30217.0	105.29161430858309	1.1	93.0	0.0	0.3241318222681	4239.920582532883	639.8858158588409	477.056988035098	3081.7526354789734	518.2821311950684	566.6678607897761	52.0	2040024.0
2055513	10.0	5840.0	21355.0	212.27275929300214	3.2499999999999996	257.6666666666667	0.2833333333333333	0.6030996283265682	1.0	0.0	0.0	-0.0008469822998198774	-0.0008469822998198774	0.00888111856941044	115.72821975576456	0.46661022761515475	116.19483010522251	29.047860482643383	1.381468360794001	30400.333333333332	84.85807158929921	3.2	85.0	0.0	0.2731479856007533	4270.606076955795	642.5239765644073	476.4258006943258	3106.1036541461945	521.9784462451935	566.556363147972	51.0	2055513.0
